Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Kenneths led","Kenneths led > Fjällbo > Göteborg > Sweden > Europe > International",https://www.mountainproject.com/route/111010501/kenneths-led,3.5,-1,Trad,5.9,1,20,57.74301,12.06645
"Robin's Crack","Nedre del > Bananblocket > Fjällbo > Göteborg > Sweden > Europe > International",https://www.mountainproject.com/route/111011615/robins-crack,3.0,-1,Trad,5.10a,1,15,57.74328,12.06813
Caligula,"Skivblocket > Fjällbo > Göteborg > Sweden > Europe > International",https://www.mountainproject.com/route/116819314/caligula,2.0,-1,Trad,5.10a,1,30,57.74347,12.06578
Kanten,"Skivblocket > Fjällbo > Göteborg > Sweden > Europe > International",https://www.mountainproject.com/route/117653206/kanten,2.0,-1,Trad,5.10a/b,1,50,57.74347,12.06578
"Oles crack","Nedre del > Bananblocket > Fjällbo > Göteborg > Sweden > Europe > International",https://www.mountainproject.com/route/111011232/oles-crack,2.0,-1,Trad,5.10b,1,25,57.74328,12.06813
"Gunnars Skräck","Skivblocket > Fjällbo > Göteborg > Sweden > Europe > International",https://www.mountainproject.com/route/116819320/gunnars-skrack,1.0,-1,Trad,5.9,2,60,57.74347,12.06578
"Blue Track","Kenneths led > Fjällbo > Göteborg > Sweden > Europe > International",https://www.mountainproject.com/route/111010825/blue-track,1.0,-1,Trad,5.10c,1,25,57.74301,12.06645
